PMID,PMCID,Sentences,Gene,Chemicals,interaction_type,Regulation
22834904,3517761," Levels of inflammatory mediators and cytokines in the serum were detected by Enzyme-linked immunosorbent assay (ELISA) and the levels of CD4+ and CD8+ spleen lymphocytes were determined by flow cytometry analysis.;  Also, the CD4+/CD8+ ratio in spleen lymphocyte was down-regulated after treatment with CDSW.;  The CD4 (GK1.5) Alexa Fluor 488 and CD8 (2.43) PE antibodies were from Santa Cruz Biotechnology (USA).;  Lymphocytes were washed three times with PBS. 10% fetal bovine serum (FBS)/phosphate-buffer saline (PBS) was added to the spleen lymphocytes suspended at 1 × 106 cells/ml with 5ml of either CD4-Alexa Fluor 488 or CD8-PE monoclonal antibodies, and incubated at 4°C for thirty minutes.; T-cells have critical roles in the immune system and include two major classes; CD4+ cells are helper cells and CD8+ cells are suppressor cells
[31]. CD4+ cells lead the attack against pathogenic infections, and CD8+ cells lead to ending immune response.;  To verify the effect of CDSW on activation of inflammatory cells, we measured the ratio of CD4+/CD8+ by FACS (Table
​(Table2).2).;  The ratio of CD4+/CD8+ is 2.03 ± 0.362 in the normal control group and increased (4.96 ± 0.685) in the DNCB-treated group.;  However, 1% pimecrolimus ointment and 10% CDSW significantly reduced the CD4+/CD8+ ratio induced by DNCB (Table
​(Table22).; CD4+ and CD8+ cells were from spleen and were determined by FACS (fluorescence-activated cell sorter).; It was believed that inflammatory cytokines contribute to inflammation in skin lesions in AD
[15]. T-helper cells (CD4+), a type of white blood cell, play an important role in the immune system and have two subfamilies with distinct regulatory and influencing functions, based on their cytokines: Th1 lymphocyte and Th2 lymphocyte
[39]. Th1 lymphocytes produce IFN-γ and IL-2, while Th2 lymphocytes produce IL-4 and IL-10.",CD4,Fe,Agonist,down-regulated
22834904,3517761," Levels of inflammatory mediators and cytokines in the serum were detected by Enzyme-linked immunosorbent assay (ELISA) and the levels of CD4+ and CD8+ spleen lymphocytes were determined by flow cytometry analysis.;  Also, the CD4+/CD8+ ratio in spleen lymphocyte was down-regulated after treatment with CDSW.;  The CD4 (GK1.5) Alexa Fluor 488 and CD8 (2.43) PE antibodies were from Santa Cruz Biotechnology (USA).;  Lymphocytes were washed three times with PBS. 10% fetal bovine serum (FBS)/phosphate-buffer saline (PBS) was added to the spleen lymphocytes suspended at 1 × 106 cells/ml with 5ml of either CD4-Alexa Fluor 488 or CD8-PE monoclonal antibodies, and incubated at 4°C for thirty minutes.; T-cells have critical roles in the immune system and include two major classes; CD4+ cells are helper cells and CD8+ cells are suppressor cells
[31]. CD4+ cells lead the attack against pathogenic infections, and CD8+ cells lead to ending immune response.;  To verify the effect of CDSW on activation of inflammatory cells, we measured the ratio of CD4+/CD8+ by FACS (Table
​(Table2).2).;  The ratio of CD4+/CD8+ is 2.03 ± 0.362 in the normal control group and increased (4.96 ± 0.685) in the DNCB-treated group.;  However, 1% pimecrolimus ointment and 10% CDSW significantly reduced the CD4+/CD8+ ratio induced by DNCB (Table
​(Table22).; CD4+ and CD8+ cells were from spleen and were determined by FACS (fluorescence-activated cell sorter).; It was believed that inflammatory cytokines contribute to inflammation in skin lesions in AD
[15]. T-helper cells (CD4+), a type of white blood cell, play an important role in the immune system and have two subfamilies with distinct regulatory and influencing functions, based on their cytokines: Th1 lymphocyte and Th2 lymphocyte
[39]. Th1 lymphocytes produce IFN-γ and IL-2, while Th2 lymphocytes produce IL-4 and IL-10.",CD4,Mg,Agonist,down-regulated
22834904,3517761," Levels of inflammatory mediators and cytokines in the serum were detected by Enzyme-linked immunosorbent assay (ELISA) and the levels of CD4+ and CD8+ spleen lymphocytes were determined by flow cytometry analysis.;  Also, the CD4+/CD8+ ratio in spleen lymphocyte was down-regulated after treatment with CDSW.;  The CD4 (GK1.5) Alexa Fluor 488 and CD8 (2.43) PE antibodies were from Santa Cruz Biotechnology (USA).;  Lymphocytes were washed three times with PBS. 10% fetal bovine serum (FBS)/phosphate-buffer saline (PBS) was added to the spleen lymphocytes suspended at 1 × 106 cells/ml with 5ml of either CD4-Alexa Fluor 488 or CD8-PE monoclonal antibodies, and incubated at 4°C for thirty minutes.; T-cells have critical roles in the immune system and include two major classes; CD4+ cells are helper cells and CD8+ cells are suppressor cells
[31]. CD4+ cells lead the attack against pathogenic infections, and CD8+ cells lead to ending immune response.;  To verify the effect of CDSW on activation of inflammatory cells, we measured the ratio of CD4+/CD8+ by FACS (Table
​(Table2).2).;  The ratio of CD4+/CD8+ is 2.03 ± 0.362 in the normal control group and increased (4.96 ± 0.685) in the DNCB-treated group.;  However, 1% pimecrolimus ointment and 10% CDSW significantly reduced the CD4+/CD8+ ratio induced by DNCB (Table
​(Table22).; CD4+ and CD8+ cells were from spleen and were determined by FACS (fluorescence-activated cell sorter).; It was believed that inflammatory cytokines contribute to inflammation in skin lesions in AD
[15]. T-helper cells (CD4+), a type of white blood cell, play an important role in the immune system and have two subfamilies with distinct regulatory and influencing functions, based on their cytokines: Th1 lymphocyte and Th2 lymphocyte
[39]. Th1 lymphocytes produce IFN-γ and IL-2, while Th2 lymphocytes produce IL-4 and IL-10.",CD4,histamine,Agonist,down-regulated
22834904,3517761," Levels of inflammatory mediators and cytokines in the serum were detected by Enzyme-linked immunosorbent assay (ELISA) and the levels of CD4+ and CD8+ spleen lymphocytes were determined by flow cytometry analysis.;  Also, the CD4+/CD8+ ratio in spleen lymphocyte was down-regulated after treatment with CDSW.;  The CD4 (GK1.5) Alexa Fluor 488 and CD8 (2.43) PE antibodies were from Santa Cruz Biotechnology (USA).;  Lymphocytes were washed three times with PBS. 10% fetal bovine serum (FBS)/phosphate-buffer saline (PBS) was added to the spleen lymphocytes suspended at 1 × 106 cells/ml with 5ml of either CD4-Alexa Fluor 488 or CD8-PE monoclonal antibodies, and incubated at 4°C for thirty minutes.; T-cells have critical roles in the immune system and include two major classes; CD4+ cells are helper cells and CD8+ cells are suppressor cells
[31]. CD4+ cells lead the attack against pathogenic infections, and CD8+ cells lead to ending immune response.;  To verify the effect of CDSW on activation of inflammatory cells, we measured the ratio of CD4+/CD8+ by FACS (Table
​(Table2).2).;  The ratio of CD4+/CD8+ is 2.03 ± 0.362 in the normal control group and increased (4.96 ± 0.685) in the DNCB-treated group.;  However, 1% pimecrolimus ointment and 10% CDSW significantly reduced the CD4+/CD8+ ratio induced by DNCB (Table
​(Table22).; CD4+ and CD8+ cells were from spleen and were determined by FACS (fluorescence-activated cell sorter).; It was believed that inflammatory cytokines contribute to inflammation in skin lesions in AD
[15]. T-helper cells (CD4+), a type of white blood cell, play an important role in the immune system and have two subfamilies with distinct regulatory and influencing functions, based on their cytokines: Th1 lymphocyte and Th2 lymphocyte
[39]. Th1 lymphocytes produce IFN-γ and IL-2, while Th2 lymphocytes produce IL-4 and IL-10.",CD4,pimecrolimus,Agonist,down-regulated
22834904,3517761," Levels of inflammatory mediators and cytokines in the serum were detected by Enzyme-linked immunosorbent assay (ELISA) and the levels of CD4+ and CD8+ spleen lymphocytes were determined by flow cytometry analysis.;  Also, the CD4+/CD8+ ratio in spleen lymphocyte was down-regulated after treatment with CDSW.;  The CD4 (GK1.5) Alexa Fluor 488 and CD8 (2.43) PE antibodies were from Santa Cruz Biotechnology (USA).;  Lymphocytes were washed three times with PBS. 10% fetal bovine serum (FBS)/phosphate-buffer saline (PBS) was added to the spleen lymphocytes suspended at 1 × 106 cells/ml with 5ml of either CD4-Alexa Fluor 488 or CD8-PE monoclonal antibodies, and incubated at 4°C for thirty minutes.; T-cells have critical roles in the immune system and include two major classes; CD4+ cells are helper cells and CD8+ cells are suppressor cells
[31]. CD4+ cells lead the attack against pathogenic infections, and CD8+ cells lead to ending immune response.;  To verify the effect of CDSW on activation of inflammatory cells, we measured the ratio of CD4+/CD8+ by FACS (Table
​(Table2).2).;  The ratio of CD4+/CD8+ is 2.03 ± 0.362 in the normal control group and increased (4.96 ± 0.685) in the DNCB-treated group.;  However, 1% pimecrolimus ointment and 10% CDSW significantly reduced the CD4+/CD8+ ratio induced by DNCB (Table
​(Table22).; CD4+ and CD8+ cells were from spleen and were determined by FACS (fluorescence-activated cell sorter).; It was believed that inflammatory cytokines contribute to inflammation in skin lesions in AD
[15]. T-helper cells (CD4+), a type of white blood cell, play an important role in the immune system and have two subfamilies with distinct regulatory and influencing functions, based on their cytokines: Th1 lymphocyte and Th2 lymphocyte
[39]. Th1 lymphocytes produce IFN-γ and IL-2, while Th2 lymphocytes produce IL-4 and IL-10.",CD4,water,Agonist,down-regulated
22834904,3517761," Finally, cytokines, especially IL-4 and IL-10 which are important for Th2 cell development, were reduced.;  Levels of inflammatory cytokines (IL-1β, IL-6 and TNF-α)and Th cell development cytokines (IL-2, IL-4, IL-10 and IFN-γ) in the serum also were determined by ELISA.;  Interestingly, IL-4 and IL-10 expression from Th2 cells were reduced significantly in the 10% CDSW-treated group (Figure
​(Figure7B).7B).;  IL-2, IL-4, IL-10 and IFN-γ levels in serum were determined by ELISA as described in Methods.;  A) IL-2 and IFN-γ from Th1 lymphocytes and B) IL-4 and IL-10 from Th2 lymphocytes.; It was believed that inflammatory cytokines contribute to inflammation in skin lesions in AD
[15]. T-helper cells (CD4+), a type of white blood cell, play an important role in the immune system and have two subfamilies with distinct regulatory and influencing functions, based on their cytokines: Th1 lymphocyte and Th2 lymphocyte
[39]. Th1 lymphocytes produce IFN-γ and IL-2, while Th2 lymphocytes produce IL-4 and IL-10.;  Treatment of DNCB promoted Th2 cell responses, such as IL-4 and IL-10 production.;  Overexpressed IL-4 promotes the development of AD
[40]. In our experiments, production of IL-4 and IL-10 was reduced by 10% CDSW treatment, which led to reduced serum IgE levels.",IL-10,Fe,Agonist,up
22834904,3517761," Finally, cytokines, especially IL-4 and IL-10 which are important for Th2 cell development, were reduced.;  Levels of inflammatory cytokines (IL-1β, IL-6 and TNF-α)and Th cell development cytokines (IL-2, IL-4, IL-10 and IFN-γ) in the serum also were determined by ELISA.;  Interestingly, IL-4 and IL-10 expression from Th2 cells were reduced significantly in the 10% CDSW-treated group (Figure
​(Figure7B).7B).;  IL-2, IL-4, IL-10 and IFN-γ levels in serum were determined by ELISA as described in Methods.;  A) IL-2 and IFN-γ from Th1 lymphocytes and B) IL-4 and IL-10 from Th2 lymphocytes.; It was believed that inflammatory cytokines contribute to inflammation in skin lesions in AD
[15]. T-helper cells (CD4+), a type of white blood cell, play an important role in the immune system and have two subfamilies with distinct regulatory and influencing functions, based on their cytokines: Th1 lymphocyte and Th2 lymphocyte
[39]. Th1 lymphocytes produce IFN-γ and IL-2, while Th2 lymphocytes produce IL-4 and IL-10.;  Treatment of DNCB promoted Th2 cell responses, such as IL-4 and IL-10 production.;  Overexpressed IL-4 promotes the development of AD
[40]. In our experiments, production of IL-4 and IL-10 was reduced by 10% CDSW treatment, which led to reduced serum IgE levels.",IL-10,Mg,Agonist,up
22834904,3517761," Finally, cytokines, especially IL-4 and IL-10 which are important for Th2 cell development, were reduced.;  Levels of inflammatory cytokines (IL-1β, IL-6 and TNF-α)and Th cell development cytokines (IL-2, IL-4, IL-10 and IFN-γ) in the serum also were determined by ELISA.;  Interestingly, IL-4 and IL-10 expression from Th2 cells were reduced significantly in the 10% CDSW-treated group (Figure
​(Figure7B).7B).;  IL-2, IL-4, IL-10 and IFN-γ levels in serum were determined by ELISA as described in Methods.;  A) IL-2 and IFN-γ from Th1 lymphocytes and B) IL-4 and IL-10 from Th2 lymphocytes.; It was believed that inflammatory cytokines contribute to inflammation in skin lesions in AD
[15]. T-helper cells (CD4+), a type of white blood cell, play an important role in the immune system and have two subfamilies with distinct regulatory and influencing functions, based on their cytokines: Th1 lymphocyte and Th2 lymphocyte
[39]. Th1 lymphocytes produce IFN-γ and IL-2, while Th2 lymphocytes produce IL-4 and IL-10.;  Treatment of DNCB promoted Th2 cell responses, such as IL-4 and IL-10 production.;  Overexpressed IL-4 promotes the development of AD
[40]. In our experiments, production of IL-4 and IL-10 was reduced by 10% CDSW treatment, which led to reduced serum IgE levels.",IL-10,histamine,Agonist,up
22834904,3517761," Finally, cytokines, especially IL-4 and IL-10 which are important for Th2 cell development, were reduced.;  Levels of inflammatory cytokines (IL-1β, IL-6 and TNF-α)and Th cell development cytokines (IL-2, IL-4, IL-10 and IFN-γ) in the serum also were determined by ELISA.;  Interestingly, IL-4 and IL-10 expression from Th2 cells were reduced significantly in the 10% CDSW-treated group (Figure
​(Figure7B).7B).;  IL-2, IL-4, IL-10 and IFN-γ levels in serum were determined by ELISA as described in Methods.;  A) IL-2 and IFN-γ from Th1 lymphocytes and B) IL-4 and IL-10 from Th2 lymphocytes.; It was believed that inflammatory cytokines contribute to inflammation in skin lesions in AD
[15]. T-helper cells (CD4+), a type of white blood cell, play an important role in the immune system and have two subfamilies with distinct regulatory and influencing functions, based on their cytokines: Th1 lymphocyte and Th2 lymphocyte
[39]. Th1 lymphocytes produce IFN-γ and IL-2, while Th2 lymphocytes produce IL-4 and IL-10.;  Treatment of DNCB promoted Th2 cell responses, such as IL-4 and IL-10 production.;  Overexpressed IL-4 promotes the development of AD
[40]. In our experiments, production of IL-4 and IL-10 was reduced by 10% CDSW treatment, which led to reduced serum IgE levels.",IL-10,pimecrolimus,Agonist,up
22834904,3517761," Finally, cytokines, especially IL-4 and IL-10 which are important for Th2 cell development, were reduced.;  Levels of inflammatory cytokines (IL-1β, IL-6 and TNF-α)and Th cell development cytokines (IL-2, IL-4, IL-10 and IFN-γ) in the serum also were determined by ELISA.;  Interestingly, IL-4 and IL-10 expression from Th2 cells were reduced significantly in the 10% CDSW-treated group (Figure
​(Figure7B).7B).;  IL-2, IL-4, IL-10 and IFN-γ levels in serum were determined by ELISA as described in Methods.;  A) IL-2 and IFN-γ from Th1 lymphocytes and B) IL-4 and IL-10 from Th2 lymphocytes.; It was believed that inflammatory cytokines contribute to inflammation in skin lesions in AD
[15]. T-helper cells (CD4+), a type of white blood cell, play an important role in the immune system and have two subfamilies with distinct regulatory and influencing functions, based on their cytokines: Th1 lymphocyte and Th2 lymphocyte
[39]. Th1 lymphocytes produce IFN-γ and IL-2, while Th2 lymphocytes produce IL-4 and IL-10.;  Treatment of DNCB promoted Th2 cell responses, such as IL-4 and IL-10 production.;  Overexpressed IL-4 promotes the development of AD
[40]. In our experiments, production of IL-4 and IL-10 was reduced by 10% CDSW treatment, which led to reduced serum IgE levels.",IL-10,water,Agonist,up
