Chemicals_ID,Name,length,PMID
C044555,(Pro-Pro-Gly),1,[9707343]
C023970,"), B(2) (",1,[12502318]
D005461,)F,1,[17815194]
D011059,)PO,1,[22840702]
D004161,"1,6-diphenyl-1,3,5-hexatriene",1,[1543716]
C004348,1-O-hexadecylglycerol,1,[8727645]
C033433,1-O-octadecylglycerol,1,[8727645]
C000614963,129I,1,[11827122]
C000614989,137Caesium,1,[10568266]
C000614989,137Cs,1,[10568266]
C000615229,13C,3,"[10724166, 11588258, 16959888]"
C000615234,14C,1,[1190762]
D000072317,"2,3,7,8-tetrachlorodibenzo-p-dioxin",2,"[19682678, 14987864]"
C094417,"2,3-di-O-phytanyl-sn-glycerol",1,[9680332]
C484217,"2,4,6-tribromoanisole",1,[19192777]
C028519,"2,6-dimethylnaphthalene",1,[18430013]
D008623,2-ME,1,[16607523]
C008229,2-ketogluconate,1,[19625435]
C027384,2-methylnaphthalene,1,[18430013]
D007656,2-oxoglutarate,1,[9707343]
C000615187,239Pu,1,[14654285]
C000615188,240Pu,1,[14654285]
C097300,3-Cyclohexylaminopropanesulfonic acid,1,[21321442]
D008748,3-MC,1,[22900608]
C104371,3-O-[(R)-1-carboxyethyl]-D-glucuronic acid,1,[8823906]
D020155,3-hydroxybutyrate,1,[19625435]
C000615311,32P,1,[29314978]
D014316,3H,2,"[12024238, 10568292]"
C000615206,3He,1,[10568292]
C007293,"4',6'-diamidino-2-phenylindole",1,[16332791]
C038193,4-hydroxybenzoate,1,[19625435]
C060809,4C,1,[1125858]
D019830,5'-N-ethylcarboxamidoadenosine,1,[29314978]
D012701,5-HT,1,[8877814]
C578082,5-methoxysterigmatocystin,1,[21119680]
C000615389,60Fe,2,"[15525065, 18851357]"
D000244,ADP,2,"[29314978, 11170013]"
D006841,AH,1,[18478171]
C003125,AMP,1,[10879855]
D000249,AMP,1,[16269773]
D000255,ATP,8,"[1319350, 24227320, 12819275, 18699783, 12740368, 8617264, 2931439, 22843576]"
D000255,ATPS,1,[20382244]
D000085,Acetate,1,[12892124]
C032159,Acetonitrile,1,[14533712]
D000241,Adenosine,1,[29314978]
D000362,Agar,1,[9818352]
D000535,Al,4,"[11508629, 21414636, 16607523, 17792748]"
D000409,Ala,1,[16598154]
C002956,Ala-Ala,1,[23012370]
D000423,Alcian blue,1,[18387836]
D000473,Alkane,1,[19943883]
C000615298,Aluminum-26,1,[17792748]
C025033,Am-N,1,[11571157]
D000641,Ammonia,2,"[23263870, 19712334]"
D064751,Ammonium,1,[7545383]
D000968,Antimycin A,1,[17166225]
C098980,Aplidin,1,[17153351]
D001128,Ar,1,[15092824]
D001120,Arginine,1,[12882969]
D006841,Aromatic Hydrocarbon,1,[18478171]
D006841,Aromatic hydrocarbon,1,[11372653]
D001151,Arsenic,1,[20483434]
C015001,Arsenite,1,[19160816]
D001151,As,2,"[18583004, 22371038]"
D001224,Asp,1,[20686828]
D001241,Aspirin,1,[16950076]
D000068258,Avastin,1,[22461855]
C517827,BDE 100,1,[19192777]
C038809,BP,1,[22187459]
D019289,BTs,2,"[12398406, 16205985]"
D001464,Ba,3,"[18224315, 22840702, 18583004]"
C561363,Benzoxacystol,1,[21505471]
D001729,Bi,1,[18583004]
D001966,Br,1,[22222829]
D001959,Bromate,1,[22840702]
D002244,C,8,"[22355782, 16348900, 17277228, 20547357, 17493812, 21687717, 20890848, 21688032]"
D002244,C(,1,[20547357]
C438934,C-glycoside,1,[22304344]
C400149,C1,1,[15761691]
C058899,C4,1,[21861153]
C014024,CB 153,1,[12685756]
D002104,CD,1,[23057655]
D017402,CFCs,1,[17802088]
C028213,CHAPS,1,[18051271]
D002248,CO,3,"[19801465, 22554535, 18790866]"
D002245,CO(2),26,"[12517981, 21097932, 21829635, 21695118, 22180817, 22449300, 21282152, 23263870, 21831420, 18833277, 20687053, 11060226, 16894174, 16348606, 16791191, 22554535, 16761196, 22678287, 17812165, 17576518, 22130603, 20615296, 18790866, 19381756, 17759647, 18664583]"
D002245,CO2,29,"[21673885, 15136755, 11589224, 10724166, 17901296, 21831420, 23449845, 18626013, 16971489, 20508128, 15265029, 9734046, 11598290, 12892124, 16836112, 22554535, 17839929, 8000284, 12148643, 16959888, 1190762, 12013430, 16119857, 18852090, 11008691, 20615296, 14742457, 16758861, 20140649]"
D003035,COBALT,1,[16589635]
C041069,COO,1,[19477106]
D003300,COPPER,1,[16589635]
D002586,CS,1,[23261779]
D002104,CS-DS,1,[23261779]
D000069285,Ca2+,6,"[18353634, 9680298, 12740368, 19353881, 18051271, 18461394]"
D002119,CaCO(3),3,"[21282152, 23272075, 22130603]"
D002122,CaCl(2),1,[18758902]
D002122,CaCl2,2,"[18353634, 15490156]"
C544384,Caboxamycin,1,[19198633]
D002104,Cadmium,1,[9563946]
D002118,Calcium,2,"[9676240, 17746622]"
D002142,Californium,1,[6841092]
D002241,Carbohydrates,1,[16926183]
D002244,Carbon,10,"[10846161, 17754037, 17839368, 24213898, 11598290, 18219285, 17847309, 16304953, 16347420, 10766240]"
D002248,Carbon Monoxide,1,[17733619]
D002245,Carbon dioxide,2,"[18626013, 20140649]"
D002254,Carbonate,2,"[17790802, 17806804]"
D002338,Carotenoid,1,[11118939]
D002338,Carotenoids,1,[16577777]
C017721,Casamino Acids,1,[16345220]
C017721,Casamino acids,1,[10319484]
D002104,Cd,9,"[11508629, 7167812, 20725529, 18097639, 21414636, 17229317, 16307081, 22371038, 16607523]"
C028213,Chaps,1,[16607523]
D002686,Chitin,1,[21235167]
D002706,Chlordane,1,[12398406]
D002706,Chlordanes,1,[10901654]
D002712,Chloride,1,[3837033]
D011078,Chlorobiphenyls,1,[17839567]
D017402,Chlorofluorocarbon,1,[10550046]
C034482,Cho,1,[14600400]
D002784,Cholesterol,2,"[4927014, 15964230]"
C529041,Ciliatamides A-,1,[18257536]
C000599013,Citharoxazole,1,[21761452]
D003035,Co,8,"[11482651, 17464071, 18097639, 848952, 18583004, 16607523, 15066859, 21184121]"
D002245,Co2+,1,[18051271]
C017144,Coelenterazine,3,"[19833098, 14583508, 15515099]"
D003300,Copper,1,[16289233]
D002857,Cr,1,[18583004]
C581652,Cristaxenicin A,1,[23057655]
D002586,Cs,4,"[18986686, 12782476, 16876294, 10879855]"
D003300,Cu,17,"[20483434, 11508629, 11341702, 11482651, 7167812, 17464071, 18097639, 848952, 21414636, 18583004, 17229317, 16348799, 15747087, 22371038, 16607523, 15066859, 11693652]"
D003903,D,1,[23170085]
D003903,D-[,1,[17734142]
C030691,D: -Gluconate,1,[21359849]
C007293,DAPI,2,"[15134883, 16332791]"
C056189,DBT,1,[12387391]
D003634,DDT,4,"[10901654, 19682678, 11833489, 23202382]"
D003634,DDTs,8,"[20169415, 19837437, 12398406, 10901654, 10705542, 17963791, 19682678, 11833489]"
C027493,DHA,2,"[7968276, 14577669]"
D004281,DHA,3,"[16535638, 15694592, 20549377]"
C024629,DMP,1,[18651216]
D004121,DMSO,1,[17220442]
D004161,DPH,1,[1543716]
C059372,DPT,1,[12387391]
D003903,DS,1,[23261779]
D004229,DTT,1,[16607523]
C025953,Da,1,[12147080]
D004147,Dioxins,1,[20169415]
D004221,Disulfiram,1,[30290491]
D004229,Dithiothreitol,1,[9676240]
D004281,Docosahexaenoic acid,1,[16535638]
D004492,EDTA,10,"[26059140, 17994287, 9676240, 9680298, 15747087, 17900925, 16607523, 504363, 19888572, 18051271]"
D015118,EPA,3,"[16535638, 18398463, 21518217]"
C100219,EPS,1,[18353634]
C408363,ES285,1,[17153351]
D004540,Es,1,[16836112]
D004492,Ethylenediaminetetraacetic acid,1,[9676240]
C414562,FOG,1,[2939274]
D005227,Fatty Acid,1,[16348900]
D005227,Fatty acid,1,[15694592]
D007501,Fe,15,"[18224315, 21695118, 11508629, 11341702, 11482651, 17778805, 12732565, 17464071, 22840702, 21414636, 22834904, 17229317, 15747087, 11693652, 21184121]"
D007501,FeS,1,[12732565]
D005557,Formaldehyde,1,[16307087]
D005557,Formalin,1,[17802356]
D037741,Fullerenes,1,[12804366]
D005650,Fumarate,1,[16348934]
C010680,G418,1,[19002837]
D006025,GAG,1,[23261779]
D006160,GTP,1,[29314978]
C094791,Gamma-indomycinone,1,[7623040]
D005973,Gln,1,[10719183]
D018698,Glu,1,[10525676]
D005947,Glucose,1,[9676240]
D005998,Glycine,2,"[25575382, 14676368]"
D006017,Glycolipid,1,[20547357]
D006027,Glycosides,2,"[12502318, 10075759]"
D006108,Graphite,1,[12804366]
D003903,H(2),7,"[22180817, 23263870, 16348606, 18163871, 17576518, 19381756, 19689705]"
D003903,H(2)S,1,[16348606]
D003903,H2,10,"[9680332, 23449845, 20370917, 9734046, 12892124, 18699783, 12148643, 22469147, 12013430, 14742457]"
D003903,H2S,5,"[9680332, 16797459, 11536615, 16119857, 10224031]"
D006581,HCB,7,"[12398406, 10901654, 10705542, 19682678, 11833489, 23202382, 22751780]"
D001556,HCHs,1,[12398406]
D001639,HCO(3),1,[21209665]
D001639,HCO3,1,[18699783]
D006851,HCl,5,"[11482651, 22840702, 17900925, 11693652, 15292952]"
D006371,He,3,"[675876, 12804366, 15092824]"
C038949,Heliox,1,[14594044]
D006371,Helium,3,"[17817428, 13098641, 17802550]"
C000615206,Helium-3,1,[17829270]
D008628,Hg,6,"[11508629, 11341702, 23178837, 17229317, 22371038, 16607523]"
D006639,His,2,"[16598154, 10719183]"
D006838,Hydrocarbon,3,"[11543277, 18478171, 20736401]"
D006859,Hydrogen,3,"[16348606, 10731600, 10568292]"
D006862,Hydrogen sulfide,1,[14742457]
